Monitoring_SiteID,water_body,Determinand_Label,Analyzed_Matrix,Result_Unit,Reference_Year,Sampling_Period,LOQ_Value,Num_of_Samples,Quality_Samples,Quality_MinimumValue,Minimum_Value,Quality_Meanvalue,Mean_Value,Quality_MaximumValue,Maximum_value,Quality_MedianValue,Median_Value,UID,Country_Name,MinimumValue_outlier,MaxValue_outlier,MeanValue_outlier,Start_Date,End_Date
DESM_BWU50,River Water,Chloridazon,Water,ug/L,2013,,0.05,13,13,1,0.05,1,0.05,1,0.05,1,0.05,11201924,Germany,0,0,0,,
DESM_BWU30,River Water,Metribuzin,Water,ug/L,2013,,0.05,13,13,1,0.05,1,0.05,1,0.05,1,0.05,11201950,Germany,0,0,0,,
DESM_BWU44,River Water,Diuron,Water,ug/L,2013,,0.05,13,13,1,0.05,1,0.05,1,0.05,1,0.05,11202034,Germany,0,0,0,,
DESM_HE_354,River Water,Diuron,Water,ug/L,2013,,0.05,16,16,1,0.05,1,0.05,1,0.05,1,0.05,11202050,Germany,0,0,0,,
DESM_HE_380,River Water,Diuron,Water,ug/L,2013,,0.05,31,31,1,0.05,1,0.05,1,0.05,1,0.05,11202052,Germany,0,0,0,,
CZPVL_1066,River Water,Chloridazon,Water,ug/L,2015,2015-01-12--2015-12-14,0.01,12,12,1,0.01,1,0.01,1,0.01,1,0.01,11144661,Czech Republic,0,0,0,2015-01-12,2015-12-14
ATPG20627052,Ground Water,Mercury and its compounds,Water - Dissolved,ug/L,2015,2015-01-01--2015-12-31,0.05,1,1,1,0.05,1,0.05,1,0.05,1,0.05,11176225,Austria,0,0,0,2015-01-01,2015-12-31
ATPG41332012,Ground Water,Nickel and its compounds,Water - Dissolved,ug/L,2015,2015-01-01--2015-12-31,,1,0,0,0.933,0,0.933,0,0.933,0,0.933,11178170,Austria,0,0,0,2015-01-01,2015-12-31
CZPVL_3923,River Water,Alpha-Endosulfan,Water,ug/L,2015,2015-01-19--2015-12-07,0.002,12,12,1,0.002,1,0.002,1,0.002,1,0.002,11159601,Czech Republic,0,0,0,2015-01-19,2015-12-07
ATPG20435012,Ground Water,Zinc and its compounds,Water - Dissolved,ug/L,2015,2015-01-01--2015-12-31,,2,0,0,25.73,0,342.875,0,660.02,0,342.875,11187591,Austria,0,0,0,2015-01-01,2015-12-31
ATPG20403052,Ground Water,Zinc and its compounds,Water - Dissolved,ug/L,2015,2015-01-01--2015-12-31,,1,0,0,481.1,0,481.1,0,481.1,0,481.1,11187614,Austria,1,0,0,2015-01-01,2015-12-31
ATPG70316032,Ground Water,Alachlor,Water,ug/L,2015,2015-01-01--2015-12-31,0.03375,1,1,1,0.03375,1,0.03375,1,0.03375,1,0.03375,11169440,Austria,0,0,0,2015-01-01,2015-12-31
ATPG40720032,Ground Water,Atrazine,Water,ug/L,2015,2015-01-01--2015-12-31,,1,0,0,0.0168,0,0.0168,0,0.0168,0,0.0168,11170687,Austria,0,0,0,2015-01-01,2015-12-31
ATPG41515032,Ground Water,Bentazone,Water,ug/L,2015,2015-01-01--2015-12-31,,3,0,0,0.1089,0,0.114866667,0,0.1208,0,0.1149,11171814,Austria,0,0,0,2015-01-01,2015-12-31
ATPG30500102,Ground Water,Desethylatrazine,Water,ug/L,2015,2015-01-01--2015-12-31,,1,0,0,0.047,0,0.047,0,0.047,0,0.047,11173752,Austria,0,0,0,2015-01-01,2015-12-31
ATPG91100082,Ground Water,Desethylatrazine,Water,ug/L,2015,2015-01-01--2015-12-31,,1,0,0,0.117,0,0.117,0,0.117,0,0.117,11173835,Austria,0,0,0,2015-01-01,2015-12-31
ATKK72120012,Ground Water,Arsenic and its compounds,Water - Dissolved,ug/L,2015,2015-01-01--2015-12-31,,1,0,0,1.46507,0,1.46507,0,1.46507,0,1.46507,11181533,Austria,0,0,0,2015-01-01,2015-12-31
ATPG80224152,Ground Water,Arsenic and its compounds,Water - Dissolved,ug/L,2015,2015-01-01--2015-12-31,,1,0,0,2,0,2,0,2,0,2,11181607,Austria,0,0,0,2015-01-01,2015-12-31
ATPG60410172,Ground Water,Arsenic and its compounds,Water - Dissolved,ug/L,2015,2015-01-01--2015-12-31,,1,0,0,23,0,23,0,23,0,23,11181730,Austria,0,0,0,2015-01-01,2015-12-31
DESM_BWU47,River Water,Epoxiconazole,Water,ug/L,2013,,0.05,13,13,1,0.05,1,0.05,1,0.05,1,0.05,11201821,Germany,0,0,0,,
DESM_HE_130,River Water,Epoxiconazole,Water,ug/L,2013,,0.05,52,52,1,0.05,1,0.05,1,0.05,1,0.05,11201825,Germany,0,0,0,,
DESM_DEBY_13306,River Water,Hexazinone,Water,ug/L,2013,,0.05,17,17,1,0.05,1,0.05,1,0.05,1,0.05,11202121,Germany,0,0,0,,
BERW_12144,River Water,Oxygen saturation,Water,%,2015,2015-01-01--2015-12-31,,13,0,0,89,0,94,0,98,0,95,11195550,Belgium,0,0,0,2015-01-01,2015-12-31
ATPG32101232,Ground Water,Nickel and its compounds,Water - Dissolved,ug/L,2015,2015-01-01--2015-12-31,1,1,1,1,1,1,1,1,1,1,1,11178853,Austria,0,0,0,2015-01-01,2015-12-31
ATPG31500832,Ground Water,Nickel and its compounds,Water - Dissolved,ug/L,2015,2015-01-01--2015-12-31,,1,0,0,2,0,2,0,2,0,2,11179599,Austria,0,0,0,2015-01-01,2015-12-31
ATPG20635272,Ground Water,Arsenic and its compounds,Water - Dissolved,ug/L,2015,2015-01-01--2015-12-31,,1,0,0,0.93,0,0.93,0,0.93,0,0.93,11180267,Austria,0,0,0,2015-01-01,2015-12-31
ATPG41807022,Ground Water,Bentazone,Water,ug/L,2015,2015-01-01--2015-12-31,,3,0,0,0.0177,0,0.018766667,0,0.0196,0,0.019,11171742,Austria,0,0,0,2015-01-01,2015-12-31
ATPG41020042,Ground Water,Desethylatrazine,Water,ug/L,2015,2015-01-01--2015-12-31,,3,0,0,0.0676,0,0.071633333,0,0.0759,0,0.0714,11173805,Austria,0,0,0,2015-01-01,2015-12-31
CZPLA_33,River Water,Total dissolved solids,Water,mg/L,2014,2014-01-07--2014-12-02,,12,0,0,240,0,309.16667,0,360,0,310,11133802,Czech Republic,0,0,0,2014-01-07,2014-12-02
ATPG41337012,Ground Water,Copper and its compounds,Water - Dissolved,ug/L,2015,2015-01-01--2015-12-31,,1,0,0,0.984,0,0.984,0,0.984,0,0.984,11183887,Austria,0,0,0,2015-01-01,2015-12-31
CZPOH_1032,River Water,pH,Water,[pH],2015,2015-01-20--2015-12-03,,12,,0,7.5,0,7.80833,0,8.2,0,7.8,11150146,Czech Republic,0,0,0,2015-01-20,2015-12-03
